text,sentiment
"حبيته للمشي مناسب وسهل الاستخدام ساعدني اني امشي كل يوم",positive
"اول شي المسكه حقته مافيها تحكم زي الصور حرفياً بس مسكه وقاعده للريموت بدون الازرار ذيك
ثاني شي جاني وسخ كانه مستعمل لقيت فيه شعر طويل ومغبر وع
ثالث شي صوته عالي جداً حتى لو خليته على اقل سرعه برضو عالي",negative
"هذا المنتج رائع جدًا وأنصح الجميع بشرائه",positive
"الخدمة سيئة للغاية ولا تستحق التجربة",negative
"لا بأس بهذا المنتج، عادي جدًا",neutral
"تجربتي كانت ممتازة والشحن كان سريعًا",positive
"للأسف المنتج وصل تالفًا وغير صالح للاستخدام",negative
"المنتج جيد ولكنه ليس كما توقعت",neutral
"أنا سعيد جدًا بالتجربة وأتمنى تجربتها مرة أخرى",positive
"التجربة كانت مملة جدًا ولا أنصح بها",negative
"الخدمة لا بأس بها لكنها ليست الأفضل",neutral
"أفضل منتج جربته على الإطلاق!",positive
"الشحن تأخر جدًا ولم تصلني الخدمة في الوقت المطلوب",negative
"السعر مناسب ولكن الجودة متوسطة",neutral
"كان الطعام لذيذًا والخدمة رائعة",positive
"الطعام سيء جدًا وغير نظيف",negative
"المنتج عادي وليس كما وصفه البائع",neutral
"أحببت المتجر، الموظفون متعاونون للغاية",positive
"الموظفون غير محترمين وتعاملهم سيء",negative
"المنتج يعمل بشكل جيد حتى الآن",neutral
"الشركة قدمت تعويضًا سريعًا عن المشكلة",positive
"الشركة تجاهلت شكواي ولم ترد",negative
"الخدمة مقبولة، لكن تحتاج لبعض التحسينات",neutral
"التطبيق سهل الاستخدام وواجهة المستخدم رائعة",positive
"التطبيق بطيء ويحتاج إلى تحديثات كثيرة",negative
"واجهة المستخدم ليست سيئة ولكنها غير مميزة",neutral
"الجهاز يعمل بكفاءة وأداء ممتاز",positive
"الجهاز يتعطل بشكل مستمر ولا يعمل",negative
"الجهاز متوسط الأداء ولا بأس به",neutral
"كانت الرحلة ممتعة جدًا والمناظر رائعة",positive
"كانت الرحلة مليئة بالمشاكل والتنظيم سيء",negative
"الرحلة كانت عادية ولم تكن مميزة",neutral
"الكتاب مفيد ومليء بالمعلومات القيمة",positive
"الكتاب ممل جدًا ولم أستفد منه",negative
"الكتاب جيد لكن كان يمكن أن يكون أفضل",neutral
"الكاميرا تلتقط صورًا بجودة عالية",positive
"الكاميرا سيئة جدًا وجودة الصور منخفضة",negative
"الكاميرا ليست سيئة ولكنها تحتاج لضبط",neutral
"الخدمة السريعة جعلتني سعيدًا جدًا",positive
"الخدمة بطيئة وغير مرضية",negative
"الخدمة مقبولة ولكن ليست ممتازة",neutral
"كانت المحاضرة رائعة جدًا ومليئة بالمعلومات",positive
"المحاضرة كانت مملة ولا يوجد أي جديد",negative
"المحاضرة عادية جدًا",neutral
"الهدية جميلة جدًا وأحببت تغليفها",positive
"الهدية كانت مكسورة وغير مرضية",negative
"التغليف جيد لكنه ليس الأفضل",neutral
"السعر ممتاز والجودة عالية جدًا",positive
"السعر مرتفع والجودة سيئة",negative
"السعر جيد لكن الجودة ليست مثالية",neutral
"المطعم يقدم طعامًا شهيًا وخدمة ممتازة",positive
"المطعم مزدحم جدًا والطعام غير نظيف",negative
"المطعم متوسط ولا يوجد شيء مميز",neutral
"الشحن كان سريعًا والتغليف ممتاز",positive
"الشحن تأخر كثيرًا وأصابني بالإحباط",negative
"الشحن جيد ولكنه يمكن أن يكون أسرع",neutral
"الموقع الإلكتروني سهل الاستخدام جدًا",positive
"الموقع الإلكتروني مليء بالأخطاء",negative
"الموقع الإلكتروني مقبول ولكنه يحتاج لبعض التحسين",neutral
"الفيلم كان رائعًا جدًا ومثيرًا",positive
"الفيلم ممل وغير مشوق على الإطلاق",negative
"الفيلم عادي وليس كما توقعت",neutral
"السيارة اقتصادية وتعمل بشكل رائع",positive
"السيارة تستهلك وقودًا كثيرًا وتتعطل",negative
"السيارة ليست سيئة ولكنها متواضعة",neutral
"البرنامج التعليمي كان مفيدًا للغاية",positive
"البرنامج التعليمي ممل ولم أستفد منه",negative
"البرنامج التعليمي عادي جدًا",neutral
"الملابس كانت جميلة والخامة ممتازة",positive
"الملابس سيئة والجودة رديئة",negative
"الملابس ليست سيئة ولكن الخامة عادية",neutral
"الموبايل سريع ويمتلك ميزات رائعة",positive
"الموبايل بطيء جدًا وغير عملي",negative
"الموبايل مقبول ولكنه ليس الأفضل",neutral
"الكتاب كان ممتعًا ومفيدًا",positive
"الكتاب ممل وغير مفيد",negative
"الكتاب لا بأس به ولكنه ليس الأفضل",neutral
"التطبيق ساعدني كثيرًا وأنصح باستخدامه",positive
"التطبيق يستهلك البطارية بشكل مفرط",negative
"التطبيق عادي ولا يوجد شيء مميز",neutral
"الخدمة رائعة وسريعة جدًا",positive
"الخدمة سيئة للغاية والتعامل غير محترم",negative
"الخدمة مقبولة ولكن ليست مميزة",neutral
"صوتها واضح وحلو ماتوقعت",positive
"الجودة منخفضة للغاية",negative
"على سعرها ماشي الحال",neutral



