text,sentiment,cleaned_text
حبيته للمشي مناسب وسهل الاستخدام ساعدني اني امشي كل يوم,positive,حبيته للمشي مناسب وسهل الاستخدام ساعدني اني امشي يوم
"اول شي المسكه حقته مافيها تحكم زي الصور حرفياً بس مسكه وقاعده للريموت بدون الازرار ذيك
ثاني شي جاني وسخ كانه مستعمل لقيت فيه شعر طويل ومغبر وع
ثالث شي صوته عالي جداً حتى لو خليته على اقل سرعه برضو عالي",negative,اول شي المسكه حقته مافيها تحكم زي الصور حرفيا مسكه وقاعده للريموت بدون الازرار ذيك شي جاني وسخ كانه مستعمل لقيت شعر طويل ومغبر وع شي صوته عالي جدا حتي خليته علي اقل سرعه برضو عالي
هذا المنتج رائع جدًا وأنصح الجميع بشرائه,positive,المنتج رايع جدا وانصح الجميع بشرايه
الخدمة سيئة للغاية ولا تستحق التجربة,negative,الخدمه سييه للغايه تستحق التجربه
لا بأس بهذا المنتج، عادي جدًا,neutral,باس بهذا المنتج، عادي جدا
تجربتي كانت ممتازة والشحن كان سريعًا,positive,تجربتي كانت ممتازه والشحن سريعا
للأسف المنتج وصل تالفًا وغير صالح للاستخدام,negative,للاسف المنتج وصل تالفا وغير صالح للاستخدام
المنتج جيد ولكنه ليس كما توقعت,neutral,المنتج جيد ولكنه توقعت
أنا سعيد جدًا بالتجربة وأتمنى تجربتها مرة أخرى,positive,انا سعيد جدا بالتجربه واتمني تجربتها مره اخري
التجربة كانت مملة جدًا ولا أنصح بها,negative,التجربه كانت ممله جدا انصح
الخدمة لا بأس بها لكنها ليست الأفضل,neutral,الخدمه باس لكنها الافضل
أفضل منتج جربته على الإطلاق!,positive,افضل منتج جربته علي الاطلاق !
الشحن تأخر جدًا ولم تصلني الخدمة في الوقت المطلوب,negative,الشحن تاخر جدا ولم تصلني الخدمه الوقت المطلوب
السعر مناسب ولكن الجودة متوسطة,neutral,السعر مناسب الجوده متوسطه
كان الطعام لذيذًا والخدمة رائعة,positive,الطعام لذيذا والخدمه رايعه
الطعام سيء جدًا وغير نظيف,negative,الطعام سيء جدا وغير نظيف
المنتج عادي وليس كما وصفه البائع,neutral,المنتج عادي وليس وصفه البايع
أحببت المتجر، الموظفون متعاونون للغاية,positive,احببت المتجر، الموظفون متعاونون للغايه
الموظفون غير محترمين وتعاملهم سيء,negative,الموظفون محترمين وتعاملهم سيء
المنتج يعمل بشكل جيد حتى الآن,neutral,المنتج يعمل بشكل جيد حتي الان
الشركة قدمت تعويضًا سريعًا عن المشكلة,positive,الشركه قدمت تعويضا سريعا المشكله
الشركة تجاهلت شكواي ولم ترد,negative,الشركه تجاهلت شكواي ولم ترد
الخدمة مقبولة، لكن تحتاج لبعض التحسينات,neutral,الخدمه مقبوله، تحتاج لبعض التحسينات
التطبيق سهل الاستخدام وواجهة المستخدم رائعة,positive,التطبيق سهل الاستخدام وواجهه المستخدم رايعه
التطبيق بطيء ويحتاج إلى تحديثات كثيرة,negative,التطبيق بطيء ويحتاج الي تحديثات كثيره
واجهة المستخدم ليست سيئة ولكنها غير مميزة,neutral,واجهه المستخدم سييه ولكنها مميزه
الجهاز يعمل بكفاءة وأداء ممتاز,positive,الجهاز يعمل بكفاءه واداء ممتاز
الجهاز يتعطل بشكل مستمر ولا يعمل,negative,الجهاز يتعطل بشكل مستمر يعمل
الجهاز متوسط الأداء ولا بأس به,neutral,الجهاز متوسط الاداء باس
كانت الرحلة ممتعة جدًا والمناظر رائعة,positive,كانت الرحله ممتعه جدا والمناظر رايعه
كانت الرحلة مليئة بالمشاكل والتنظيم سيء,negative,كانت الرحله ملييه بالمشاكل والتنظيم سيء
الرحلة كانت عادية ولم تكن مميزة,neutral,الرحله كانت عاديه ولم تكن مميزه
الكتاب مفيد ومليء بالمعلومات القيمة,positive,الكتاب مفيد ومليء بالمعلومات القيمه
الكتاب ممل جدًا ولم أستفد منه,negative,الكتاب ممل جدا ولم استفد
الكتاب جيد لكن كان يمكن أن يكون أفضل,neutral,الكتاب جيد يمكن ان يكون افضل
الكاميرا تلتقط صورًا بجودة عالية,positive,الكاميرا تلتقط صورا بجوده عاليه
الكاميرا سيئة جدًا وجودة الصور منخفضة,negative,الكاميرا سييه جدا وجوده الصور منخفضه
الكاميرا ليست سيئة ولكنها تحتاج لضبط,neutral,الكاميرا سييه ولكنها تحتاج لضبط
الخدمة السريعة جعلتني سعيدًا جدًا,positive,الخدمه السريعه جعلتني سعيدا جدا
الخدمة بطيئة وغير مرضية,negative,الخدمه بطييه وغير مرضيه
الخدمة مقبولة ولكن ليست ممتازة,neutral,الخدمه مقبوله ممتازه
كانت المحاضرة رائعة جدًا ومليئة بالمعلومات,positive,كانت المحاضره رايعه جدا وملييه بالمعلومات
المحاضرة كانت مملة ولا يوجد أي جديد,negative,المحاضره كانت ممله يوجد اي جديد
المحاضرة عادية جدًا,neutral,المحاضره عاديه جدا
الهدية جميلة جدًا وأحببت تغليفها,positive,الهديه جميله جدا واحببت تغليفها
الهدية كانت مكسورة وغير مرضية,negative,الهديه كانت مكسوره وغير مرضيه
التغليف جيد لكنه ليس الأفضل,neutral,التغليف جيد لكنه الافضل
السعر ممتاز والجودة عالية جدًا,positive,السعر ممتاز والجوده عاليه جدا
السعر مرتفع والجودة سيئة,negative,السعر مرتفع والجوده سييه
السعر جيد لكن الجودة ليست مثالية,neutral,السعر جيد الجوده مثاليه
المطعم يقدم طعامًا شهيًا وخدمة ممتازة,positive,المطعم يقدم طعاما شهيا وخدمه ممتازه
المطعم مزدحم جدًا والطعام غير نظيف,negative,المطعم مزدحم جدا والطعام نظيف
المطعم متوسط ولا يوجد شيء مميز,neutral,المطعم متوسط يوجد شيء مميز
الشحن كان سريعًا والتغليف ممتاز,positive,الشحن سريعا والتغليف ممتاز
الشحن تأخر كثيرًا وأصابني بالإحباط,negative,الشحن تاخر واصابني بالاحباط
الشحن جيد ولكنه يمكن أن يكون أسرع,neutral,الشحن جيد ولكنه يمكن ان يكون اسرع
الموقع الإلكتروني سهل الاستخدام جدًا,positive,الموقع الالكتروني سهل الاستخدام جدا
الموقع الإلكتروني مليء بالأخطاء,negative,الموقع الالكتروني مليء بالاخطاء
الموقع الإلكتروني مقبول ولكنه يحتاج لبعض التحسين,neutral,الموقع الالكتروني مقبول ولكنه يحتاج لبعض التحسين
الفيلم كان رائعًا جدًا ومثيرًا,positive,الفيلم رايعا جدا ومثيرا
الفيلم ممل وغير مشوق على الإطلاق,negative,الفيلم ممل وغير مشوق علي الاطلاق
الفيلم عادي وليس كما توقعت,neutral,الفيلم عادي وليس توقعت
السيارة اقتصادية وتعمل بشكل رائع,positive,السياره اقتصاديه وتعمل بشكل رايع
السيارة تستهلك وقودًا كثيرًا وتتعطل,negative,السياره تستهلك وقودا وتتعطل
السيارة ليست سيئة ولكنها متواضعة,neutral,السياره سييه ولكنها متواضعه
البرنامج التعليمي كان مفيدًا للغاية,positive,البرنامج التعليمي مفيدا للغايه
البرنامج التعليمي ممل ولم أستفد منه,negative,البرنامج التعليمي ممل ولم استفد
البرنامج التعليمي عادي جدًا,neutral,البرنامج التعليمي عادي جدا
الملابس كانت جميلة والخامة ممتازة,positive,الملابس كانت جميله والخامه ممتازه
الملابس سيئة والجودة رديئة,negative,الملابس سييه والجوده ردييه
الملابس ليست سيئة ولكن الخامة عادية,neutral,الملابس سييه الخامه عاديه
الموبايل سريع ويمتلك ميزات رائعة,positive,الموبايل سريع ويمتلك ميزات رايعه
الموبايل بطيء جدًا وغير عملي,negative,الموبايل بطيء جدا وغير عملي
الموبايل مقبول ولكنه ليس الأفضل,neutral,الموبايل مقبول ولكنه الافضل
